Package	Download_score
MOSim	151
Motif2Site	134
motifbreakR	250
motifcounter	140
MotifDb	587
motifmatchr	1292
MotifPeeker	72
motifRG	60
motifStack	683
motifTestR	110
MotIV	73
MouseFM	180
MPAC	92
MPFE	129
mpra	176
MPRAnalyze	139
MQmetrics	25
mQTL.NMR	41
msa	2127
MSA2dist	160
MsBackendMassbank	138
MsBackendMetaboLights	90
MsBackendMgf	469
MsBackendMsp	346
MsBackendRawFileReader	138
MsBackendSql	125
MsCoreUtils	3443
MsDataHub	159
MSEADbi	6
MsExperiment	1257
MsFeatures	1321
msgbsR	150
MSGFgui	58
MSGFplus	39
msImpute	227
mslp	103
msmsEDA	280
msmsTests	297
MSnbase	3087
MSnID	338
mspms	76
MSPrep	181
msPurity	181
msqrob2	207
MsQuality	129
MSstats	584
MSstatsBig	115
MSstatsBioNet	52
MSstatsConvert	489
MSstatsLiP	145
MSstatsLOBD	114
MSstatsPTM	244
MSstatsQC	164
MSstatsQCgui	127
MSstatsSampleSize	45
MSstatsShiny	161
MSstatsTMT	307
MSstatsTMTPTM	8
MTseeker	9
MuData	147
Mulcom	195
MultiAssayExperiment	6117
MultiBaC	154
multiClust	177
multicrispr	133
MultiDataSet	1196
multiGSEA	168
multiHiCcompare	199
MultiMed	148
multiMiR	402
MultimodalExperiment	121
multiOmicsViz	68
MultiRNAflow	122
multiscan	164
multiSight	29
multistateQTL	99
multiWGCNA	160
multtest	11551
mumosa	136
MungeSumstats	812
muscat	555
muscle	423
musicatk	153
MutationalPatterns	357
MVCClass	206
mvGST	36
MWASTools	191
mygene	374
myvariant	162
mzID	2942
mzR	3222
NADfinder	155
NanoMethViz	170
NanoStringDiff	172
NanoStringNCTools	378
NanoStringQCPro	56
nanotatoR	39
NanoTube	162
NarrowPeaks	44
NBAMSeq	187
NBSplice	27
ncdfFlow	1051
ncGTW	184
NCIgraph	118
ncRNAtools	130
ndexr	142
neaGUI	27
nearBynding	147
Nebulosa	1254
NeighborNet	49
nem	90
nempi	126
NetActivity	112
netbenchmark	30
netbiov	84
netboost	136
netboxr	33
netDx	51
nethet	156
netOmics	34
NetPathMiner	168
netprioR	124
netReg	24
netresponse	187
NetSAM	176
netSmooth	159
networkBMA	76
netZooR	99
NeuCA	53
NewWave	154
NGScopy	40
ngsReports	171
nipalsMCIA	127
nnNorm	200
nnSVG	213
NOISeq	601
nondetects	97
NoRCE	136
normalize450K	153
NormalyzerDE	241
NormqPCR	239
normr	208
NPARC	145
npGSEA	152
NTW	143
nucleoSim	150
nucleR	207
nuCpos	147
nudge	59
nullranges	235
NuPoP	196
NxtIRFcore	26
occugene	155
OCplus	202
octad	121
ODER	19
odseq	144
OGRE	128
OGSA	38
oligo	2203
oligoClasses	1653
OLIN	217
OLINgui	174
omada	113
OmaDB	216
omicade4	203
OmicCircos	274
omicplotR	158
omicRexposome	162
OmicsLonDA	47
OmicsMarkeR	28
OmicsMLRepoR	75
OMICsPCA	165
omicsPrint	157
omicsViewer	144
Omixer	148
OmnipathR	909
ompBAM	175
omXplore	88
Onassis	38
oncomix	157
oncoscanR	130
OncoScore	136
OncoSimulR	179
oneChannelGUI	79
oneSENSE	49
onlineFDR	114
ontoCAT	51
ontoProc	246
ontoTools	33
openCyto	634
openPrimeR	176
openPrimeRui	68
OpenStats	107
OperaMate	21
oposSOM	204
oppar	163
oppti	106
optimalFlow	139
OPWeight	144
OrderedList	183
ORFhunteR	146
ORFik	250
OrganismDbi	2432
Organism.dplyr	388
orthogene	460
orthos	127
OSAT	181
Oscope	175
OSTA.data	56
OTUbase	162
OutlierD	58
OUTRIDER	258
OutSplice	123
OVESEG	136
PAA	188
packFinder	153
padma	153
PADOG	305
pageRank	132
PAIRADISE	173
paircompviz	156
pairedGSEA	99
pairkat	125
pairseqsim	3
pamr	34
pandaR	207
panelcn.mops	142
PAnnBuilder	52
PanomiR	127
panp	189
PANR	185
PanViz	45
PanVizGenerator	42
PAPi	43
pareg	49
parglms	145
parody	172
partCNV	114
PAST	143
Path2PPI	177
pathifier	183
pathlinkR	142
pathMED	33
PathNet	165
PathoStat	196
pathprint	22
pathRender	171
pathVar	54
pathview	4751
pathwayPCA	172
PathwaySplice	21
PatientGeneSets	11
paxtoolsr	107
Pbase	43
pbcmc	13
pcaExplorer	379
pcaGoPromoter	41
pcaMethods	5058
PCAN	168
PCAtools	1227
pcot2	86
PCpheno	71
pcxn	47
PDATK	177
pdInfoBuilder	203
pdmclass	53
PeacoQC	282
peakPantheR	137
PECA	178
peco	144
Pedixplorer	108
pengls	120
PepSetTest	88
PepsNMR	167
pepStat	149
pepXMLTab	154
PERFect	32
periodicDNA	146
perturbatr	27
pfamAnalyzeR	297
PFP	25
PGA	41
pgca	119
PGSEA	111
pgUtils	17
pgxRpi	111
phantasus	230
phantasusLite	120
PharmacoGx	293
phemd	41
phenoDist	37
PhenoGeneRanker	117
phenomis	133
phenopath	175
phenoTest	201
PhenStat	173
philr	224
PhIPData	151
phosphonormalizer	128
PhosR	203
PhyloProfile	165
phyloseq	5653
Pi	67
piano	410
PICB	64
pickgene	146
PICS	173
Pigengene	188
PING	166
pint	42
pipeComp	150
pipeFrame	190
PIPETS	107
Pirat	87
PIUMA	103
pkgDepTools	80
planet	251
planttfhunter	115
plasmut	108
plateCore	65
plethy	71
plgem	201
plier	215
PloGO2	42
plotgardener	264
plotGrouper	123
PLPE	171
plrs	45
PLSDAbatch	117
plw	63
plyinteractions	116
plyranges	1070
plyxp	86
pmm	120
pmp	195
PoDCall	109
podkat	175
poem	49
pogos	184
polyester	129
Polyfit	36
PolySTest	88
Polytect	79
POMA	226
POST	17
PoTRA	20
PowerExplorer	18
powerTCR	307
POWSC	134
ppcseq	140
PPInfer	224
ppiStats	97
pqsfinder	199
prada	68
pram	145
prebs	166
preciseTAD	148
PrecisionTrialDrawer	29
PREDA	196
predictionet	64
preprocessCore	14597
primirTSS	140
PrInCE	150
Prize	26
proActiv	162
proBAMr	147
proBatch	41
PROcess	204
procoil	198
ProCoNA	40
proDA	282
proFIA	50
profileplyr	303
profileScoreDist	129
progeny	554
projectR	158
pRoloc	329
pRolocGUI	206
PROMISE	180
PRONE	97
PROPER	199
PROPS	147
Prostar	193
prot2D	26
proteasy	33
proteinProfiles	130
ProteoDisco	114
ProteomicsAnnotationHubData	33
ProteoMM	159
proteoQC	46
protGear	131
ProtGenerics	11046
PSEA	72
psichomics	166
PSICQUIC	51
PSMatch	2294
psygenet2r	95
ptairMS	124
PubScore	27
pulsedSilac	25
puma	215
PureCN	256
pvac	168
pvca	331
Pviz	146
pwalign	6910
PWMEnrich	254
pwOmics	141
pwrEWAS	29
qckitfastq	122
qcmetrics	184
QDNAseq	376
QFeatures	2703
qmtools	134
qpcrNorm	170
qpgraph	250
qPLEXanalyzer	151
qrqc	64
QRscore	60
qsea	161
qsmooth	191
QSutils	214
qsvaR	184
QTLExperiment	117
Qtlizer	141
QUALIFIER	52
quantiseqr	656
quantro	258
quantsmooth	661
QuartPAC	73
QuasR	374
QuaternaryProd	157
QUBIC	189
qusage	427
qvalue	20177
R3CPET	155
r3Cseq	203
R453Plus1Toolbox	195
R4RNA	673
RadioGx	141
raer	116
RaggedExperiment	718
RAIDS	118
rain	196
rama	59
RamiGO	34
ramr	138
ramwas	178
RandomWalkRestartMH	59
randPack	157
randRotation	126
RankProd	308
RAREsim	116
RareVariantVis	183
Rariant	56
Rarr	218
rawDiag	106
rawrr	224
RbcBook1	267
Rbec	116
RBGL	8725
RBioFormats	291
RBioinf	186
rBiopaxParser	226
rBLAST	255
RBM	154
Rbowtie	446
Rbowtie2	317
RbowtieCuda	28
rbsurv	181
Rbwa	114
Rcade	82
RCAS	183
RCASPAR	136
rcellminer	187
rCGH	185
Rchemcpp	42
RchyOptimyx	52
RcisTarget	1330
RCM	152
Rcollectl	68
Rcpi	223
RCSL	137
Rcwl	131
RcwlPipelines	126
RCX	137
RCy3	842
RCyjs	167
RCytoscape	41
RDAVIDWebService	76
Rdbi	19
RdbiPgSQL	14
rDGIdb	67
Rdisop	513
RDRToolbox	207
ReactomeContentService4R	73
ReactomeGraph4R	36
ReactomeGSA	287
ReactomePA	3181
readat	23
ReadqPCR	248
reb	60
REBET	130
rebook	198
receptLoss	119
reconsi	122
recount	420
recount3	361
recountmethylation	147
recoup	165
RedeR	336
RedisParam	117
REDseq	175
ReducedExperiment	72
RefNet	32
RefPlus	100
RegEnrich	153
regionalpcs	108
RegionalST	93
regioneR	1776
regioneReloaded	127
regionReport	218
regsplice	132
regutools	128
REMP	155
Repitools	339
ReportingTools	572
reposTools	2
RepViz	134
ReQON	87
ResidualMatrix	3867
RESOLVE	116
Resourcerer	27
restfulSE	96
retrofit	117
ReUseData	101
rexposome	189
rfaRm	130
Rfastp	206
RFLOMICS	44
rflowcyt	29
rfPred	179
rGADEM	373
RGalaxy	52
rGenomeTracks	125
Rgin	27
RGMQL	51
RgnTX	130
rgoslin	191
RGraph2js	162
Rgraphviz	8933
rGREAT	653
RGSEA	184
rgsepd	168
rhdf5	21961
rhdf5client	164
rhdf5filters	21385
Rhdf5lib	23182
rhinotypeR	84
Rhisat2	235
Rhtslib	23518
rHVDM	73
RiboCrypt	110
RiboDiPA	148
RiboProfiling	186
ribor	147
riboSeqR	182
ribosomeProfilingQC	162
rifi	112
rifiComparative	109
Rigraphlib	218
rigvf	51
RImmPort	128
Ringo	162
Rintact	13
RIPAT	40
RIPSeeker	66
Risa	171
RITAN	121
RIVER	166
RJMCMCNucleosomes	144
RLassoCox	126
RLMM	161
RLSeq	30
RMAGEML	15
Rmagpie	164
RMAPPER	17
RMassBank	220
rMAT	52
rmelting	141
RmiR	53
Rmmquant	143
rmspc	124
RNAAgeCalc	175
RNAdecay	126
rnaEditr	138
RNAinteract	72
RNAither	76
RNAmodR	140
RNAmodR.AlkAnilineSeq	129
RNAmodR.ML	152
RNAmodR.RiboMethSeq	122
RNAprobR	35
RNAsense	132
rnaseqcomp	172
RNAseqCovarImpute	99
rnaSeqMap	55
RNASeqPower	266
RNASeqR	27
RnaSeqSampleSize	184
RnBeads	351
Rnits	149
roar	171
roastgsa	114
ROC	1094
ROCpAI	120
RolDE	142
Roleswitch	43
Rolexa	35
rols	417
ROntoTools	239
ropls	1263
ROSeq	155
ROTS	281
RPA	162
rprimer	146
RProtoBufLib	2318
RpsiXML	92
rpx	313
Rqc	347
rqt	120
rqubic	172
rRDP	176
Rredland	14
RRHO	174
rrvgo	542
Rsamtools	23337
rsbml	207
rScudo	143
rsemmed	127
RSeqAn	159
rSFFreader	46
RSNPper	11
Rsubread	2065
RSVSim	166
rSWeeP	142
rTANDEM	57
RTCA	167
RTCGA	448
RTCGAToolbox	488
RTN	268
RTNduals	140
RTNsurvival	146
RTools4TB	7
RTopper	195
Rtpca	137
rtracklayer	20088
Rtreemix	167
rTRM	192
rTRMui	164
RUCova	58
runibic	131
Ruuid	19
RUVcorr	154
RUVnormalize	158
RUVSeq	889
Rvisdiff	108
RVS	135
RWebServices	32
rWikiPathways	405
S4Arrays	41502
S4Vectors	56388
safe	577
SAGElyzer	8
sagenhaft	187
SAGx	65
SAIGEgds	167
samExploreR	16
sampleClassifier	133
SamSPECTRAL	214
sangeranalyseR	285
sangerseqR	741
SANTA	173
sapFinder	48
saps	17
SARC	123
sarks	124
saseR	94
satuRn	346
savR	42
SBGNview	218
sbgr	11
SBMLR	165
SC3	386
scafari	1
Scale4C	169
ScaledMatrix	12555
scAlign	20
scanMiR	137
scanMiRApp	126
scAnnotatR	207
SCAN.UPC	182
SCANVIS	154
SCArray	151
SCArray.sat	119
SCATE	26
scater	7140
scatterHatch	119
scBFA	145
SCBN	132
scBubbletree	135
scCB2	123
scClassifR	9
scClassify	207
sccomp	179
scDataviz	162
scDblFinder	1919
scDD	201
scDDboost	116
scde	470
scDesign3	141
scDiagnostics	98
scDotPlot	121
scds	476
SCFA	142
scFeatureFilter	150
scFeatures	124
scfind	20
scGPS	146
schex	196
scHiCcompare	60
scHOT	159
scider	118
scifer	128
ScISI	89
scMAGeCK	20
scmap	315
scMerge	444
scMET	134
scmeth	138
scMitoMut	106
scMultiSim	129
SCnorm	186
scone	191
Sconify	151
SCOPE	145
scoreInvHap	164
scoup	79
scp	260
scPCA	167
scPipe	182
scQTLtools	57
scran	4851
scrapper	274
scReClassify	132
scRecover	164
screenCounter	108
ScreenR	120
scRepertoire	731
scRNAseqApp	129
scruff	157
scry	347
scShapes	116
scsR	48
scTensor	138
scTGIF	201
scTHI	123
scTreeViz	126
scuttle	9119
scviR	103
SDAMS	147
seahtrue	93
sechm	238
segmenter	127
segmentSeq	206
selectKSigs	123
SELEX	172
SemDist	179
semisup	135
SemSim	6
SEPA	23
SEPIRA	50
seq2pathway	241
seqArchR	127
seqArchRplus	120
SeqArray	921
seqbias	76
seqCAT	154
seqCNA	83
seqcombo	125
SeqGate	127
SeqGSEA	265
seq.hotSPOT	108
Seqinfo	515
seqLogo	3498
seqPattern	744
seqplots	57
seqsetvis	165
SeqSQC	208
seqTools	165
SeqVarTools	491
SEraster	55
sesame	806
SEtools	202
sevenbridges	174
sevenC	160
SGCP	176
SGSeq	358
SharedObject	176
shinyDSP	58
shinyepico	144
shiny.gosling	115
shinyMethyl	209
shinyTANDEM	38
ShortRead	5958
SIAMCAT	210
SICtools	165
sigaR	43
SigCheck	144
sigFeature	346
SigFuge	182
siggenes	2982
sights	162
signatureSearch	241
signeR	171
signet	10
signifinder	114
sigPathway	83
SigsPack	126
sigsquared	148
SIM	167
SIMAT	168
SimBindProfiles	85
SimBu	194
SIMD	127
SimFFPE	120
similaRpeak	176
SIMLR	221
simona	530
simPIC	103
simpleaffy	100
simpleSeg	180
simplifyEnrichment	1121
simulatorAPMS	14
simulatorZ	35
sincell	189
single	38
SingleCellAlleleExperiment	103
SingleCellExperiment	16886
SingleCellSignalR	275
singleCellTK	339
SingleMoleculeFootprinting	130
SingleR	4523
singscore	1553
SiPSiC	111
SISPA	50
sitadela	125
Site2Target	42
sitePath	159
sizepower	157
SJava	26
sketchR	101
skewr	143
slalom	149
SLGI	92
slingshot	1790
slinky	30
SLqPCR	164
SMAD	124
SMAP	92
smartid	101
SMITE	158
smoothclust	107
smoppix	57
SNAGEE	164
snapCGH	100
snapcount	134
snifter	206
snm	192
SNPchip	66
SNPediaR	125
SNPhood	187
snpMatrix	21
SNPRelate	1813
snpStats	2064
soGGi	420
sojourner	34
SomatiCA	37
SomaticSignatures	236
SOMNiBUS	114
sosta	71
SpaceMarkers	109
SpacePAC	116
spacexr	113
spade	40
Spaniel	164
SpaNorm	105
sparrow	418
SparseArray	43603
sparseDOSSA	41
sparseMatrixStats	15461
sparsenetgls	119
SparseSignatures	170
spaSim	133
SpatialCPie	169
spatialDE	169
SpatialDecon	233
SpatialExperiment	5588
SpatialExperimentIO	70
spatialFDA	87
SpatialFeatureExperiment	288
spatialHeatmap	247
SpatialOmicsOverlay	115
spatialSimGP	74
spatzie	132
speckle	310
specL	179
SpeCond	207
Spectra	1985
SpectralTAD	173
SpectraQL	87
SPEM	171
SPIA	610
SPIAT	205
spicyR	265
SpidermiR	51
spikeLI	144
spiky	129
spillR	104
spkTools	169
splatter	456
splicegear	55
spliceR	30
spliceSites	46
SpliceWiz	193
SplicingFactory	121
SplicingGraphs	229
SplineDV	77
splineTCDiffExpr	1
splineTimeR	175
SPLINTER	137
splots	201
SPONGE	160
spoon	101
SpotClean	171
SPOTlight	354
spotSegmentation	45
SpotSweeper	132
spqn	139
SPsimSeq	190
SQLDataFrame	133
SQUADD	57
squallms	88
sRACIPE	151
SRAdb	464
sRAP	58
SRGnet	20
srnadiff	135
sscore	74
sscu	160
sSeq	239
ssize	186
sSNAPPY	196
SSPA	137
ssPATHS	142
ssrch	139
ssviz	171
StabMap	84
stageR	273
stam	15
STAN	65
standR	201
staRank	83
StarBioTrek	57
Starr	74
STATegRa	181
Statial	150
statTarget	185
STdeconvolve	124
stepNorm	175
stepwiseCM	48
stJoincount	132
strandCheckR	150
Streamer	164
STRINGdb	1659
STROMA4	34
struct	211
Structstrings	141
structToolbox	209
StructuralVariantAnnotation	232
SubCellBarCode	154
subSeq	178
SUITOR	115
SummarizedBenchmark	62
SummarizedExperiment	42083
Summix	117
supersigs	194
supraHex	291
surfaltr	136
SurfR	94
survClust	96
survcomp	1462
survtype	137
Sushi	96
sva	7327
svaNUMT	109
SVAPLSseq	14
svaRetro	126
SVM2CRM	25
SVMDO	124
SVP	60
SWATH2stats	160
SwathXtend	145
swfdr	167
SwimR	45
switchBox	165
switchde	145
synapsis	135
synapter	177
synergyfinder	307
SynExtend	149
synlet	162
SynMut	128
syntenet	175
systemPipeR	1247
systemPipeShiny	143
systemPipeTools	117
tadar	116
TADCompare	171
tanggle	150
TAPseq	146
target	149
TargetDecoy	144
TargetScore	177
TargetSearch	188
TarSeqQC	59
TaxSEA	43
TBSignatureProfiler	133
TCC	311
TCGAbiolinks	5060
TCGAbiolinksGUI	51
TCGAutils	625
TCseq	749
TDARACNE	56
TDbasedUFE	124
TDbasedUFEadv	126
TEKRABber	192
TENET	48
TENxIO	144
tenXplore	157
TEQC	176
terapadog	61
ternarynet	154
terraTCGAdata	119
TFARM	137
TFBSTools	3241
TFEA.ChIP	191
TFHAZ	159
TFutils	167
tidybulk	327
tidyCoverage	103
tidyFlowCore	89
tidyomics	130
tidysbml	90
tidySingleCellExperiment	301
tidySpatialExperiment	128
tidySummarizedExperiment	328
tidytof	96
tigre	175
TileDBArray	146
tilingArray	236
timecourse	190
timeOmics	166
timescape	139
TimeSeriesExperiment	34
TimiRGeN	38
TIN	183
TissueEnrich	294
TitanCNA	172
tkWidgets	1444
tLOH	129
TMixClust	149
TMSig	86
TNBC.CMS	47
TnT	131
TOAST	515
tofsims	29
tomoda	135
tomoseqr	126
TOP	102
ToPASeq	43
topconfects	226
topdownr	155
topGO	2580
ToxicoGx	148
TPP	207
TPP2D	148
tpSVG	101
tracktables	243
trackViewer	649
tradeSeq	670
TrajectoryGeometry	114
TrajectoryUtils	2015
transcriptogramer	155
transcriptR	184
transformGamPoi	133
transite	154
tRanslatome	226
transmogR	101
transomics2cytoscape	150
TransView	127
TraRe	22
traseR	174
Travel	6
traviz	73
TreeAndLeaf	179
treeclimbR	105
treeio	23494
treekoR	162
TreeSummarizedExperiment	2148
TREG	139
trena	54
TReNA	4
Trendy	142
TRESS	129
tricycle	313
TrIdent	60
triform	49
trigger	170
trio	208
triplex	184
tripr	139
tRNA	149
tRNAdbImport	137
tRNAscanImport	131
TRONCO	187
TSAR	103
TSCAN	598
tscR	30
tspair	69
TSRchitect	38
TSSi	40
ttgsea	122
TTMap	149
TurboNorm	187
TVTB	142
tweeDEseq	204
twilight	214
twoddpcr	165
txcutr	121
txdbmaker	4669
tximeta	1067
tximport	3614
TxRegInfra	17
TypeInfo	99
UCell	1632
UCSC.utils	41068
Ularcirc	153
UMI4Cats	143
uncoverappLib	137
UNDO	177
unifiedWMWqPCR	136
UniProt.ws	572
Uniquorn	175
universalmotif	1030
updateObject	124
UPDhmm	94
uSORT	150
VAExprs	123
VanillaICE	267
VarCon	145
variancePartition	1024
VariantAnnotation	8215
VariantExperiment	100
VariantFiltering	183
VariantTools	211
vasp	12
VaSP	145
vbmp	218
VCFArray	136
VDJdive	132
Vega	38
VegaMC	199
velociraptor	199
veloviz	121
VennDetail	278
VERSO	119
vidger	187
viper	792
virtualArray	15
ViSEAGO	166
VisiumIO	140
visiumStitched	70
vissE	186
vmrseq	39
Voyager	240
VplotR	153
vsclust	123
vsn	4964
vtpnet	182
vulcan	125
waddR	111
wateRmelon	877
wavClusteR	154
waveTiling	46
weaver	168
webbioc	180
weitrix	157
widgetInvoke	7
widgetTools	1439
wiggleplotr	206
wpm	156
wppi	111
Wrench	1602
XAItest	44
XBSeq	42
xCell2	74
XCIR	12
xcms	1549
xcore	130
XDE	203
XeniumIO	51
xenLite	83
Xeva	167
XINA	157
xmapbridge	175
xmapcore	12
XNAString	130
xps	66
XVector	51554
y2hStat	4
yamss	141
YAPSA	180
yaqcaffy	52
yarn	196
zellkonverter	1935
zenith	173
zFPKM	182
zinbwave	784
zitools	85
zlibbioc	45904
ZygosityPredictor	111
